School Name,Active,Admissions Drop,Archived,Dropped,Total,Drop_Count,Drop_Rate
School1,1,0,7,0,8,0,0.0
School10,0,0,1,0,1,0,0.0
School100,1,3,5,0,9,3,0.3333333333333333
School101,1,1,11,0,13,1,0.07692307692307693
School102,1,2,1,0,4,2,0.5
School103,1,0,1,0,2,0,0.0
School104,1,1,1,1,4,2,0.5
School105,1,1,6,0,8,1,0.125
School106,0,2,3,0,5,2,0.4
School107,3,6,3,0,12,6,0.5
School108,0,0,2,0,2,0,0.0
School109,0,0,1,1,2,1,0.5
School11,0,0,1,0,1,0,0.0
School110,0,0,2,0,2,0,0.0
School111,0,1,1,0,2,1,0.5
School112,0,0,1,0,1,0,0.0
School113,1,0,1,0,2,0,0.0
School114,0,0,1,0,1,0,0.0
School115,0,1,0,0,1,1,1.0
School116,0,1,1,0,2,1,0.5
School117,0,2,2,0,4,2,0.5
School118,0,1,0,0,1,1,1.0
School119,1,0,5,0,6,0,0.0
School12,1,0,5,0,6,0,0.0
School120,0,4,10,0,14,4,0.2857142857142857
School121,0,1,1,0,2,1,0.5
School122,1,2,3,0,6,2,0.3333333333333333
School123,1,1,3,0,5,1,0.2
School124,0,0,1,0,1,0,0.0
School125,1,1,5,0,7,1,0.14285714285714285
School126,1,1,2,0,4,1,0.25
School127,3,1,21,0,25,1,0.04
School128,1,3,2,0,6,3,0.5
School129,0,0,2,0,2,0,0.0
School13,2,1,8,0,11,1,0.09090909090909091
School130,1,0,3,0,4,0,0.0
School131,4,3,10,0,17,3,0.17647058823529413
School132,6,1,5,0,12,1,0.08333333333333333
School133,18,4,13,0,35,4,0.11428571428571428
School134,1,2,4,0,7,2,0.2857142857142857
School135,0,1,2,0,3,1,0.3333333333333333
School136,0,0,7,0,7,0,0.0
School137,3,2,4,0,9,2,0.2222222222222222
School138,0,4,0,0,4,4,1.0
School139,0,0,1,0,1,0,0.0
School14,1,2,7,0,10,2,0.2
School140,0,0,4,0,4,0,0.0
School141,1,2,5,0,8,2,0.25
School142,0,3,4,0,7,3,0.42857142857142855
School143,0,0,2,0,2,0,0.0
School144,0,3,0,0,3,3,1.0
School145,2,2,10,0,14,2,0.14285714285714285
School146,1,0,1,0,2,0,0.0
School147,3,1,5,0,9,1,0.1111111111111111
School148,0,0,2,0,2,0,0.0
School149,1,1,2,0,4,1,0.25
School15,3,2,9,1,15,3,0.2
School150,1,1,8,1,11,2,0.18181818181818182
School151,0,0,5,0,5,0,0.0
School152,0,2,0,0,2,2,1.0
School153,0,0,4,0,4,0,0.0
School154,3,5,25,0,33,5,0.15151515151515152
School155,2,5,10,0,17,5,0.29411764705882354
School156,0,0,1,0,1,0,0.0
School157,2,1,12,0,15,1,0.06666666666666667
School158,0,2,0,0,2,2,1.0
School159,0,0,1,0,1,0,0.0
School16,0,0,1,0,1,0,0.0
School160,0,1,5,0,6,1,0.16666666666666666
School161,0,0,1,0,1,0,0.0
School162,0,2,0,0,2,2,1.0
School163,0,1,1,0,2,1,0.5
School164,0,4,8,0,12,4,0.3333333333333333
School165,0,1,10,0,11,1,0.09090909090909091
School166,1,1,5,0,7,1,0.14285714285714285
School167,3,0,11,0,14,0,0.0
School168,0,0,2,0,2,0,0.0
School169,0,0,1,0,1,0,0.0
School17,0,1,7,0,8,1,0.125
School170,2,3,4,0,9,3,0.3333333333333333
School171,0,0,3,0,3,0,0.0
School172,0,0,1,0,1,0,0.0
School173,0,0,4,0,4,0,0.0
School174,1,0,1,0,2,0,0.0
School175,1,0,3,1,5,1,0.2
School176,0,1,6,0,7,1,0.14285714285714285
School177,1,5,8,2,16,7,0.4375
School178,1,0,5,0,6,0,0.0
School179,2,4,11,0,17,4,0.23529411764705882
School18,0,0,4,0,4,0,0.0
School180,1,0,0,0,1,0,0.0
School181,0,3,3,0,6,3,0.5
School182,0,1,1,0,2,1,0.5
School183,0,2,0,0,2,2,1.0
School184,1,0,1,0,2,0,0.0
School185,0,0,1,0,1,0,0.0
School186,0,0,1,0,1,0,0.0
School187,0,0,2,0,2,0,0.0
School188,0,4,2,0,6,4,0.6666666666666666
School189,1,0,0,0,1,0,0.0
School19,0,0,1,0,1,0,0.0
School190,0,0,1,0,1,0,0.0
School191,0,0,1,0,1,0,0.0
School192,0,1,7,0,8,1,0.125
School193,0,0,1,0,1,0,0.0
School194,1,1,4,1,7,2,0.2857142857142857
School195,1,1,2,0,4,1,0.25
School196,0,1,0,0,1,1,1.0
School197,0,0,1,0,1,0,0.0
School198,1,0,0,0,1,0,0.0
School199,1,1,4,0,6,1,0.16666666666666666
School2,0,1,0,0,1,1,1.0
School20,4,0,4,0,8,0,0.0
School200,1,1,5,0,7,1,0.14285714285714285
School201,0,2,0,0,2,2,1.0
School202,3,1,22,0,26,1,0.038461538461538464
School203,0,1,2,0,3,1,0.3333333333333333
School204,0,0,1,0,1,0,0.0
School205,0,2,0,0,2,2,1.0
School206,0,1,4,0,5,1,0.2
School207,1,0,3,0,4,0,0.0
School208,0,5,5,0,10,5,0.5
School209,2,0,2,0,4,0,0.0
School21,1,1,3,0,5,1,0.2
School210,0,6,0,0,6,6,1.0
School211,1,5,1,0,7,5,0.7142857142857143
School212,0,0,3,0,3,0,0.0
School213,0,1,0,0,1,1,1.0
School214,0,0,3,0,3,0,0.0
School215,0,0,1,0,1,0,0.0
School216,2,3,9,0,14,3,0.21428571428571427
School217,0,0,2,0,2,0,0.0
School218,0,1,1,0,2,1,0.5
School219,0,0,1,0,1,0,0.0
School22,0,0,1,0,1,0,0.0
School220,0,4,2,0,6,4,0.6666666666666666
School221,1,4,15,0,20,4,0.2
School222,1,2,12,1,16,3,0.1875
School223,2,3,11,0,16,3,0.1875
School224,1,0,7,0,8,0,0.0
School225,4,0,0,0,4,0,0.0
School226,1,0,1,0,2,0,0.0
School227,0,0,2,0,2,0,0.0
School228,1,1,6,0,8,1,0.125
School229,0,1,9,0,10,1,0.1
School23,0,0,1,0,1,0,0.0
School230,0,0,17,0,17,0,0.0
School231,1,0,2,0,3,0,0.0
School232,0,1,3,0,4,1,0.25
School233,0,0,2,1,3,1,0.3333333333333333
School234,0,2,6,0,8,2,0.25
School235,2,0,11,0,13,0,0.0
School236,1,0,11,0,12,0,0.0
School237,0,0,1,0,1,0,0.0
School238,1,1,1,0,3,1,0.3333333333333333
School239,1,0,1,0,2,0,0.0
School24,0,0,1,0,1,0,0.0
School240,1,2,11,0,14,2,0.14285714285714285
School241,0,5,2,0,7,5,0.7142857142857143
School242,0,3,12,0,15,3,0.2
School243,0,1,0,0,1,1,1.0
School244,0,0,1,0,1,0,0.0
School245,1,1,1,0,3,1,0.3333333333333333
School246,0,2,0,0,2,2,1.0
School247,1,0,2,1,4,1,0.25
School248,0,0,1,0,1,0,0.0
School249,1,1,12,0,14,1,0.07142857142857142
School25,0,1,0,0,1,1,1.0
School250,0,2,2,0,4,2,0.5
School251,0,3,3,0,6,3,0.5
School252,2,0,4,0,6,0,0.0
School253,0,1,3,0,4,1,0.25
School254,0,2,5,0,7,2,0.2857142857142857
School255,1,4,7,0,12,4,0.3333333333333333
School256,0,2,0,0,2,2,1.0
School257,0,4,2,0,6,4,0.6666666666666666
School258,0,0,1,0,1,0,0.0
School259,2,2,6,0,10,2,0.2
School26,2,0,3,0,5,0,0.0
School260,2,2,13,1,18,3,0.16666666666666666
School261,3,4,7,0,14,4,0.2857142857142857
School262,0,3,1,0,4,3,0.75
